genre,format_type,whitespace_percentage,page_area,whitespace_cm2
Theology,Large,14.852824472805079,620,92.08751173139149
Theology,Large,27.315046620477343,620,169.35328904695953
Theology,Large,30.35767204173556,620,188.2175666587605
Theology,Large,26.40105718905896,620,163.68655457216556
Theology,Large,25.306759906821014,620,156.90191142229028
Theology,Large,25.09809545632,620,155.60819182918402
Theology,Large,23.11202568775478,620,143.29455926407965
Theology,Large,21.628794979294163,620,134.0985288716238
Theology,Large,32.973507023524306,620,204.4357435458507
Theology,Small,21.33313729673535,200,42.6662745934707
Theology,Large,31.755837908871676,620,196.8861950350044
Theology,Large,22.56923134861353,620,139.9292343614039
Theology,Large,25.089640292772646,620,155.55576981519042
Theology,Large,26.793264528223464,620,166.1182400749855
Theology,Large,30.07641031749221,620,186.4737439684517
Theology,Large,27.37140501486895,620,169.70271109218749
Theology,Large,23.33017202928853,620,144.6470665815889
Theology,Large,27.53486888985285,620,170.71618711708766
Theology,Large,29.85714295459085,620,185.11428631846326
Theology,Large,26.254986166644507,620,162.78091423319594
Theology,Small,31.029570023500483,200,62.05914004700097
Theology,Large,22.254758055090846,620,137.97949994156323
Theology,Large,29.607672742090614,620,183.5675710009618
Theology,Large,23.504444320531523,620,145.72755478729545
Theology,Large,25.94958882887159,620,160.88745073900387
Theology,Large,24.821489354285323,620,153.893233996569
Theology,Large,16.340757717166664,620,101.31269784643332
Theology,Large,29.493719018931955,620,182.86105791737813
Theology,Large,21.69257257624633,620,134.49394997272725
Theology,Large,28.289807230487146,620,175.3968048290203
Theology,Large,14.202906805342938,620,88.05802219312622
Theology,Large,25.765464052679697,620,159.74587712661412
Theology,Large,19.57636540525728,620,121.37346551259515
Theology,Large,29.427589121987772,620,182.45105255632419
Theology,Large,20.101613951122104,620,124.63000649695705
Theology,Large,21.60882762374765,620,133.97473126723543
Theology,Large,31.05481535147959,620,192.53985517917346
Theology,Large,31.346353282715537,620,194.34739035283633
Theology,Large,30.17247599529253,620,187.0693511708137
Theology,Large,27.160483877343257,620,168.39500003952818
Theology,Large,28.056795766419757,620,173.95213375180248
Theology,Large,24.51779746917888,620,152.01034430890905
Theology,Large,25.08966230978407,620,155.55590632066125
Theology,Large,25.20987945212491,620,156.30125260317445
Theology,Large,32.416835183321346,620,200.98437813659234
Theology,Large,25.277004551697644,620,156.7174282205254
Theology,Large,20.117077523979983,620,124.7258806486759
Theology,Large,26.82776780630071,620,166.3321603990644
Theology,Large,20.32143519961076,620,125.99289823758672
Theology,Large,22.464766491812703,620,139.28155224923876
Theology,Large,16.742268124717725,620,103.8020623732499
Theology,Large,25.906389378942485,620,160.6196141494434
Theology,Large,26.969440077176923,620,167.2105284784969
Theology,Large,22.084618822987974,620,136.92463670252542
Theology,Large,21.342665954820276,620,132.3245289198857
Theology,Large,24.465976740622203,620,151.68905579185767
Theology,Large,16.43773435157224,620,101.91395297974788
Theology,Large,23.315988097610596,620,144.5591262051857
Theology,Large,22.386168775756207,620,138.7942464096885
Theology,Large,20.083182401161032,620,124.5157308871984
Theology,Large,25.693734999792305,620,159.3011569987123
Theology,Large,14.136953390296163,620,87.64911101983621
Theology,Large,20.881643893811674,620,129.46619214163238
Theology,Large,29.730534377212813,620,184.32931313871944
Theology,Large,40.94480928207669,620,253.85781754887546
Theology,Large,17.52427268471101,620,108.65049064520828
Theology,Large,24.681195080646248,620,153.02340950000675
Theology,Large,27.8823536524799,620,172.87059264537538
Theology,Large,22.697098475058663,620,140.7220105453637
Theology,Large,15.825795496151736,620,98.11993207614077
Theology,Large,25.750593031494255,620,159.6536767952644
Theology,Large,26.02177600681541,620,161.33501124225555
Theology,Large,24.8855121829888,620,154.29017553453056
Theology,Large,18.11422011848518,620,112.3081647346081
Theology,Large,20.533333069439635,620,127.30666503052574
Theology,Small,21.88389519360924,200,43.76779038721848
Theology,Large,26.198719401124322,620,162.4320602869708
Theology,Large,32.11922402063625,620,199.13918892794476
Theology,Large,25.3589777882773,620,157.22566228731924
Theology,Large,30.037796983955673,620,186.23434130052516
Theology,Large,21.675115741598617,620,134.38571759791142
Theology,Large,23.96996863436429,620,148.61380553305858
